Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
csrA	b2696	947176	P69913	JW2666,zfiA	carbon storage regulator; pleiotropic regulatory protein for carbon source metabolism	Basal machinery
cstA	b0598	945213	P15078	ybdC,JW0590	peptide transporter induced by carbon starvation	Basal machinery
cueO	b0123	947736	P36649	yacK,JW0119	multicopper oxidase with role in copper homeostasis	58
cueR	b0487	945332	P0A9G4	ybbI,JW0476	CueR transcriptional dual regulator	58
cusA	b0575	945191	P38054	ybdE,JW0564	copper / silver efflux system - membrane subunit	45
cusB	b0574	945189	P77239	JW0563,ylcD	copper / silver  efflux system - membrane fusion protein	45
cusC	b0572	946288	P77211	ibeB,JW0561,ylcB	copper / silver efflux system - outer membrane porin	45
cusF	b0573	945188	P77214	ylcC,JW0562,cusX	copper / silver efflux system - periplasmic binding protein and metallochaperone	45
cusR	b0571	945003	P0ACZ8	ylcA,JW0560	CusR	45
cusS	b0570	945978	P77485	ybcZ,JW5082	CusS sensory histidine kinase	45
cutA	b4137	948660	P69488	cutA1,JW4097,cycY	copper binding protein CutA	Basal machinery
cvpA	b2313	945055	P08550	dedE,JW2310	membrane protein required for colicin V production	8.10
cyaA	b3806	947755	P00936	JW3778,cya	adenylate cyclase	Basal machinery
cydA	b0733	945341	P0ABJ9	JW0722,cyd-1	cytochrome <i>bd</i>-I terminal oxidase subunit I	Intermodular
cydB	b0734	945347	P0ABK2	cyd-2,JW0723	cytochrome <i>bd</i>-I terminal oxidase subunit II	Intermodular
cydC	b0886	945504	P23886	mdrA,JW0869,mdrH,surB	glutathione / L-cysteine efflux transporter - CydC subunit	Basal machinery
cydD	b0887	949052	P29018	htrD,JW0870	glutathione / L-cysteine efflux transporter - CydD subunit	Basal machinery
cynR	b0338	945001	P27111	JW5894	CynR DNA-binding transcriptional repressor	39
cynS	b0340	948998	P00816	cnt,JW0331	cyanase monomer	39
cynT	b0339	946548	P0ABE9	JW0330	carbonic anhydrase monomer	39
cynX	b0341	946770	P17583	JW0332	cyanate transporter	39
cyoA	b0432	945080	P0ABJ1	JW0422	cytochrome <i>bo</i> terminal oxidase subunit II	8.8
cyoB	b0431	945615	P0ABI8	JW0421	cytochrome <i>bo</i> terminal oxidase subunit I	8.8
cyoC	b0430	946897	P0ABJ3	JW0420	cytochrome <i>bo</i> terminal oxidase subunit III	8.8
cyoD	b0429	944918	P0ABJ6	JW0419	cytochrome <i>bo</i> terminal oxidase subunit IV	8.8
cyoE	b0428	945073	P0AEA5	JW0418	heme O synthase	8.8
cysA	b2422	946889	P16676	JW2415	sulfate / thiosulfate ABC transporter - ATP binding subunit	19
cysB	b1275	945771	P0A9F3	JW1267	CysB	19
cysC	b2750	947221	P0A6J1	JW2720	CysC	Basal machinery
cysD	b2752	947217	P21156	JW2722	sulfate adenylyltransferase, CysD subunit	Basal machinery
cysE	b3607	948126	P0A9D4	JW3582	serine acetyltransferase monomer	8.1
cysG	b3368	947880	P0AEA8	JW3331	CysG	8.11
cysH	b2762	947230	P17854	JW2732	CysH	Basal machinery
cysI	b2763	947231	P17846	JW2733	sulfite reductase, hemoprotein subunit	Basal machinery
cysJ	b2764	947239	P38038	JW2734	sulfite reductase, flavoprotein subunit	Basal machinery
cysK	b2414	946877	P0ABK5	cysZ,JW2407	<i>O</i>-acetylserine sulfhydrylase A	19
cysM	b2421	946888	P16703	JW2414	CysM	19
cysN	b2751	947219	P23845	JW2721	sulfate adenylyltransferase, CysN subunit	Basal machinery
cysP	b2425	946883	P16700	JW2418	sulfate / thiosulfate ABC transporter - periplasmic binding protein CysP	19
cysU	b2424	946882	P16701	cysT,JW2417	sulfate / thiosulfate ABC transporter - membrane subunit	19
cysW	b2423	2847743	P0AEB0	JW2416	sulfate / thiosulfate ABC transporter - membrane subunit	19
cytR	b3934	948427	P0ACN7	JW3905	CytR	8.35
dadA	b1189	945752	P0A6J5	dadR,JW1178	D-amino acid dehydrogenase	Basal machinery
dadX	b1190	945754	P29012	dadB,JW1179,alnB		Basal machinery
dam	b3387	947893	P0AEE8	JW3350	DNA adenine methyltransferase	Basal machinery
damX	b3388	947930	P11557	yhfB,JW3351	cell division protein DamX	Basal machinery
dapA	b2478	946952	P0A6L2	JW2463	4-hydroxy-tetrahydrodipicolinate synthase	Basal machinery
dapB	b0031	944762	P04036	JW0029	4-hydroxy-tetrahydrodipicolinate reductase	29
dapD	b0166	944862	P0A9D8	JW0161	tetrahydrodipicolinate succinylase	29
dapE	b2472	948313	P0AED7	msgB,JW2456	<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit	Basal machinery
dapF	b3809	948364	P0A6K1	JW5592		Basal machinery
dctA	b3528	948039	P0A830	JW3496	C4 dicarboxylate / orotate:H<sup>+</sup> symporter	28
dctR	b3507	948021	P37195	JW3475,yhiF	predicted DNA-binding transcriptional regulator	8.1
dcuA	b4138	948659	P0ABN5	JW5735,genA	dicarboxylate transporter DcuA	Basal machinery
dcuB	b4123	948641	P0ABN9	genF,JW4084	dicarboxylate transporter DcuB	28
dcuR	b4124	948640	P0AD01	yjdG,JW4085	DcuR transcriptional activator	28
dcuS	b4125	948639	P0AEC8	JW4086,yjdH	DcuS sensory histidine kinase	Basal machinery
ddlB	b0092	946324	P07862	JW0090,ddl	D-alanine-D-alanine ligase B	8.8
deaD	b3162	947674	P0A9P6	JW5531,mssB,rhlD,csdA	DeaD, DEAD-box RNA helicase	Basal machinery
def	b3287	947780	P0A6K3	JW3248,fms	peptide deformylase	Basal machinery
degP	b0161	947139	P0C0V0	htrA,ptd,JW0157	DegP	Basal machinery
degQ	b3234	947812	P39099	JW3203,hhoA	serine endoprotease, periplasmic	Basal machinery
degS	b3235	947865	P0AEE3	JW3204,hhoB,htrH	DegS serine endoprotease	Basal machinery
deoA	b4382	948901	P07650	JW4345,tpp,ttg	DeoA	Intermodular
deoB	b4383	948910	P0A6K6	thyR,JW4346,drm	phosphopentomutase	Intermodular
deoC	b4381	948902	P0A6L0	dra,thyR,JW4344	deoxyribose-phosphate aldolase	Intermodular
deoD	b4384	945654	P0ABP8	JW4347,pup	purine nucleoside phosphorylase	Intermodular
deoR	b0840	945453	P0ACK5	nucR,JW0824	DeoR DNA-binding transcriptional repressor	8.34
der	b2511	946983	P0A6P5	engA,yfgK,JW5403	50S ribosomal subunit stability factor	Basal machinery
dgcC						8.1
dgcN						Basal machinery
dgcT						Basal machinery
dgcZ	b1535	946075	P31129	ydeH,ydeG,JW1528	diguanylate cyclase	Basal machinery
dgkA	b4042	948543	P0ABN1	JW4002	DgkA	8.1
dicA	b1570	946241	P06966	JW1562	DicA DNA-binding transcriptional dual regulator	53
dicC	b1569	946120	P06965	JW1561	Qin prophage; DNA-binding transcriptional regulator for DicB	53
dinF	b4044	948554	P28303	JW4004	DinF MATE Transporter	36
dinG	b0799	945431	P27296	JW0784,rarB	ATP-dependent helicase	36
dinI	b1061	945022	P0ABR1	JW1048	DNA damage-inducible protein I	36
dinJ	b0226	944914	Q47150	JW0216	DinJ antitoxin of YafQ-DinJ toxin-antitoxin system and DNA-binding transcriptional repressor	18
dinQ	b4613	5061522	A5A624		toxic inner membrane peptide DinQ	Basal machinery
dkgA	b3012	947495	Q46857	yqhE,JW5499	methylglyoxal reductase/isobutyraldehyde reductase/&beta;-keto ester reductase/2,5-diketo-D-gluconate reductase	70
dksA	b0145	944850	P0ABS1	JW0141	RNA polymerase-binding transcription factor DksA	Basal machinery
dmsA	b0894	945508	P18775	JW5118	dimethyl sulfoxide reductase, chain A	8.16
dmsB	b0895	945507	P18776	JW0878	dimethyl sulfoxide reductase, chain B	8.16
dmsC	b0896	945502	P18777	JW0879	dimethyl sulfoxide reductase, chain C	8.16
dmsD	b1591	945987	P69853	ynfI,JW5262	DMS reductase maturation protein	Basal machinery
dnaA	b3702	948217	P03004	JW3679	chromosomal replication initiator protein DnaA; DNA-binding transcriptional dual regulator	29
dnaE	b0184	944877	P10443	JW0179,polC	DNA polymerase III, &alpha; subunit	Basal machinery
dnaG	b3066	947570	P0ABS5	parB,JW3038,dnaP	DNA primase	36
dnaJ	b0015	944753	P08622	JW0014,groP	chaperone protein DnaJ	Basal machinery
dnaK	b0014	944750	P0A6Y8	grpF,seg,groP,JW0013	chaperone protein DnaK	Basal machinery
dnaN	b3701	948218	P0A988	JW3678	DnaN	29
dpiA	b0620		P0AEF4	mpdA,JW0612,criR,citB	DpiA	28
dpiB	b0619		P77510	mpdB,JW0611,ybeP,citA	DpiB sensory histidine kinase	28
dppA	b3544	948062	P23847	JW3513	dipeptide ABC transporter - periplasmic binding protein	Basal machinery
dppB	b3543	948063	P0AEF8	JW3512	dipeptide ABC transporter - putative membrane subunit	Basal machinery
dppC	b3542	948064	P0AEG1	JW3511	dipeptide ABC transporter - putative membrane subunit	Basal machinery
dppD	b3541	948065	P0AAG0	JW3510	dipeptide ABC transporter - putative ATP binding subunit	Basal machinery
dppF	b3540	948056	P37313	dppE,JW3509	dipeptide ABC transporter - putative ABC binding subunit	Basal machinery
dps	b0812	945101	P0ABT2	vtm,JW0797,pexB	stationary phase nucleoid protein that sequesters iron and protects DNA from damage	Basal machinery
dsbA	b3860	948353	P0AEG4	JW3832,dsf,ppfA	protein disulfide oxidoreductase - DsbA<sub>reduced</sub>	Basal machinery
dsbC	b2893	947363	P0AEG6	JW2861,xprA	DsbC monomer	Basal machinery
dsbE	b2195	949073		yejQ,ccmG,JW2183		Intermodular
dsbG	b0604	945224	P77202	ybdP,JW0597	DsbG<SUB>reduced</SUB>	8.18
dsdA	b2366	946837	P00926	JW2363	D-serine ammonia-lyase	Basal machinery
dsdX	b2365	949103	P08555	yfdD,JW2362,yfdA	D-serine transporter	Basal machinery
dtpA	b1634	947436	P77304	ydgR,tppB,JW1626	tripeptide / dipeptide:H<sup>+</sup> symporter DtpA	8.1
dusB	b3260	947707	P0ABT5	JW3228,yhdG	tRNA-dihydrouridine synthase B	Basal machinery
ecnB	b4411	2847737	P0ADB7	JW4108,yjeU	entericidin B	Basal machinery
ecpA	b0293	948759	P0AAA3	matB,yagZ,JW0287	<i>E. coli</i> common pilus - major subunit; cryptic	8.1
ecpR	b0294	944966	P71301	ykgK,matA,JW5031	MatA DNA-binding transcriptional dual regulator	8.1
eda	b1850	946367	P0A955	hga,JW1839,kdgA	Eda	Intermodular
edd	b1851	946362	P0ADF6	JW1840	phosphogluconate dehydratase	Intermodular
efeU_2						Basal machinery
emrA	b2685	947166	P27303	JW2660	EmrAB-TolC multidrug efflux transport system - membrane fusion protein	27
emrB	b2686	947167	P0AEJ0	JW2661	EmrAB-TolC multidrug efflux transport system - membrane subunit	27
emrK	b2368	946840	P52599	JW2365	EmrKY-TolC multidrug efflux transport system - membrane fusion protein	8.1
emrY	b2367	946835	P52600	JW2364	EmrKY putative multidrug efflux transporter - membrane subunit	8.1
eno	b2779	945032	P0A6P9	JW2750	Eno	8.1
entA	b0596	945284	P15047	JW0588	EntA	Basal machinery
entB	b0595	946178	P0ADI4	entG,JW0587	EntB monomer	Basal machinery
entC	b0593	945511	P0AEJ2	JW0585	isochorismate synthase 1	Basal machinery
entD	b0583	945194	P19925	JW5085	phosphopantetheinyl transferase/phosphopantetheinyl transferase	Basal machinery
entE	b0594	947426	P10378	JW0586	EntE	Basal machinery
entF	b0586	945184	P11454	JW0578	apo-serine activating enzyme	Basal machinery
entH	b0597	945215	P0A8Y8	JW0589,ybdB	proofreading thioesterase in enterobactin biosynthesis	Basal machinery
entS	b0591	946268	P24077	ybdA,JW0583	enterobactin efflux transporter EntS	Basal machinery
envC	b3613	948129	P37690	JW5646,yibP	EnvC divisome associated factor, activator of peptidoglycan hydrolases	Basal machinery
envR	b3264		P0ACT2	acrS,JW3232,yhdK	EnvR DNA-binding transcriptional repressor	8.26
envZ	b3404	947272	P0AEJ4	ompB,perA,tpo,JW3367	EnvZ	Basal machinery
epd	b2927	947413	P0A9B6	gapB,JW2894	Epd	8.1
eptB	b3546	948068	P37661	yhjW,JW5660	phosphoethanolamine transferase EptB	Basal machinery
era	b2566	947036	P06616	rbaA,JW2550,sdgE	GTP-binding protein	Basal machinery
erpA	b0156	944857	P0ACC3	yadR,JW0152	essential respiratory protein A	8.22
essD	b0554	947545	P0A9R2	JW0543,ybcR	DLP12 prophage; predicted phage lysis protein	Basal machinery
evgA	b2369	946841	P0ACZ4	JW2366	EvgA transcriptional regulator	8.1
evgS	b2370	946844	P30855	JW2367	EvgS sensory histidine kinase	8.1
exbB	b3006	945420	P0ABU7	JW2974	TonB energy transducing system - ExbB subunit	Basal machinery
exbD	b3005	946345	P0ABV2	JW2973	tonB energy transducing system - ExbD subunit	Basal machinery
exuR	b3094	947602	P0ACL2	JW3065	ExuR DNA-binding transcriptional repressor	73
exuT	b3093	947601	P0AA78	JW3064	hexuronate transporter	28
fabA	b0954	945568	P0A6Q3	JW0937	FabA	8.29
fabB	b2323	946799	P0A953	fabC,JW2320	FabB	Intermodular
fabD	b1092	945766	P0AAI9	JW1078,tfpA	malonyl-CoA-ACP transacylase	8.5
fabF	b1095	946665	P0AAI5	fabJ,JW1081	FabF	Basal machinery
fabG	b1093	945645	P0AEK2	JW1079	3-oxoacyl-[acyl-carrier-protein] reductase subunit	8.5
fabH	b1091	946003	P0A6R0	JW1077		8.5
fabI	b1288	945870	P0AEK4	envM,JW1281	enoyl-[acyl-carrier-protein] reductase subunit	8.5
fabR	b3963	948460	P0ACU5	JW3935,yijC	FabR DNA-binding transcriptional repressor	8.29
fabZ	b0180	944888	P0A6Q6	yaeA,JW0175,sefA	FabZ	Basal machinery
fadA	b3845	948324	P21151	JW5578,oldA	3-ketoacyl-CoA thiolase	Basal machinery
fadB	b3846	948336	P21177	oldB,JW3822	dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase	Basal machinery
fadD	b1805	946327	P69451	JW1794,oldD	FadD	8.5
fadE	b0221	949007	Q47146	yafH,JW5020	acyl-CoA dehydrogenase	8.5
fadH	b3081	947594	P42593	ygjL,JW3052	2,4-dienoyl-CoA reductase	Intermodular
fadI	b2342	948823	P76503	JW2339,yfcY	FadI monomer	8.5
fadJ	b2341	949097	P77399	yfcX,JW2338	FadJ monomer	8.5
fadL	b2344	946820	P10384	JW2341,ttr	long-chain fatty acid outer membrane porin; bacteriophage T2 receptor	Intermodular
fadR	b1187	948652	P0A8V6	JW1176,oleR,thdB	FadR DNA-binding transcriptional dual regulator	8.5
fbaA	b2925	947415	P0AB71	fda,fba,JW2892	fructose bisphosphate aldolase monomer	8.1
fbaB	b2097	946632	P0A991	dhnA,JW5344	fructose bisphosphate aldolase monomer	Basal machinery
fdhF	b4079	948584	P07658	JW4040	formate dehydrogenase H	8.21
fdnG	b1474	946035	P24183	JW1470	formate dehydrogenase N, &alpha; subunit	8.11
fdnH	b1475	948794	P0AAJ3	JW1471	formate dehydrogenase N, &beta; subunit	8.11
fdnI	b1476	946038	P0AEK7	JW1472	formate dehydrogenase N, &gamma; subunit	8.11
fdx	b2525	947160	P0A9R4	JW2509	reduced ferredoxin	Basal machinery
feaB	b1385	945933	P80668	padA,JW1380,maoB,ydbG	FeaB	15
feaR	b1384	945941	Q47129	maoB,maoR,JW1379,ydbM	FeaR DNA-binding transcriptional activator	15
fecA	b4291	946427	P13036	JW4251	ferric citrate outer membrane porin FecA	30
fecB	b4290	946838	P15028	JW4250	ferric dicitrate ABC transporter - periplasmic binding protein	30
fecC	b4289	948826	P15030	JW4249	ferric dicitrate ABC transporter - membrane subunit	30
fecD	b4288	946816	P15029	JW4248	ferric dicitrate ABC transporter - membrane subunit	30
fecE	b4287	948819	P15031	JW4247	ferric dicitrate ABC transporter - ATP binding subunit	30
fecI	b4293	946839	P23484	JW4253	RNA polymerase, sigma 19 factor	30
fecR	b4292	949104	P23485	JW4252	regulator for fec operon, periplasmic	Basal machinery
fepA	b0584	945193	P05825	feuB,JW5086,fep	ferric enterobactin / colicin B / colicin D outer membrane porin FepA	Basal machinery
fepB	b0592	947538	P0AEL6	JW0584	ferric enterobactin ABC transporter - periplasmic binding protein	8.1
fepC	b0588	945201	P23878	JW0580	ferric enterobactin ABC transporter - ATP binding subunit	Basal machinery
fepD	b0590	945214	P23876	JW0582	ferric enterobactin ABC transporter - membrane subunit	Basal machinery
fepE	b0587	945180	P26266	JW0579	ferric enterobactin (enterochelin) transport	Basal machinery
fepG	b0589	945209	P23877	JW0581	ferric enterobactin ABC transporter - membrane subunit	Basal machinery
fes	b0585	945181	P13039	JW0576	enterochelin esterase	Basal machinery
fhlA	b2731	947181	P19323	JW2701	FhlA transcriptional activator	8.21
fhuA	b0150	944856	P06971	JW0146,tonA	ferrichrome / phage / antibiotic outer membrane porin FhuA	Basal machinery
fhuB	b0153	946890	P06972	JW0149	iron (III) hydroxamate ABC transporter - membrane subunit	Basal machinery
fhuC	b0151	945250	P07821	JW0147	iron (III) hydroxamate ABC transporter - ATP binding subunit	Basal machinery
fhuD	b0152	947510	P07822	JW0148	iron (III) hydroxamate ABC transporter - periplasmic binding protein	Basal machinery
fhuF	b4367	948891	P39405	JW4331,yjjS	hydroxamate siderophore iron reductase	8.18
fic	b3361	947872	P20605	JW3324	stationary-phase protein with possible role in p-aminobenzoate or folate biosynthesis	Basal machinery
ficA						Basal machinery
fimA	b4314	948838	P04128	pilA,JW4277	major type 1 subunit fimbrin (pilin)	Basal machinery
fimB	b4312	948832	P0ADH5	JW4275	regulator for fimA	Intermodular
fimC	b4316	948843	P31697	JW4279	periplasmic chaperone, required for type 1 fimbriae	Basal machinery
fimD	b4317	948844	P30130	JW5780	FimD monomer	Basal machinery
fimE	b4313	948836	P0ADH7	JW4276	regulator for fimA	8.1
fimF	b4318	948845	P08189	JW4281	fimbrial morphology	Basal machinery
fimG	b4319	948846	P08190	JW4282	fimbrial morphology	Basal machinery
fimH	b4320	948847	P08191	JW4283	minor fimbrial subunit, D-mannose specific adhesin	Basal machinery
fimI	b4315	948841	P39264	JW5779	fimbrial protein	Basal machinery
fis	b3261	947697	P0A6R3	JW3229	Fis	Global regulator
fixA	b0041	947316	P60566	yaaQ,JW0040	predicted elecron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	13
fixB	b0042	948939	P31574	yaaR,JW0041	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	13
fixC	b0043	948958	P68644	JW0042,yaaS	flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism	13
fixX	b0044	948590	P68646	yaaT,JW0043	putative ferredoxin possibly involved in anaerobic carnitine metabolism	13
fkpA	b3347	947850	P45523	JW3309,yzzS	peptidyl-prolyl cis-trans isomerase; in protein folding	Basal machinery
fkpB	b0028	944807	P0AEM0	JW0026,yaaD,slpA	peptidyl-prolyl <i>cis-trans</i> isomerase	Basal machinery
fldA	b0684	945293	P61949	JW0671	flavodoxin 1	8.2
fldB	b2895	947361	P0ABY4	JW2863	flavodoxin 2	Basal machinery
flgB	b1073	945678	P0ABW9	fla,FII,flbA,JW1060	flagellar basal-body rod protein FlgB	8.1
flgC	b1074	946687	P0ABX2	fla,flaW,FIII,JW1061	flagellar basal-body rod protein FlgC	8.1
flgD	b1075	945813	P75936	flaV,JW1062,fla,FIV	flagellar biosynthesis, initiation of hook assembly	8.1
flgE	b1076	945636	P75937	JW1063,FV,fla,flaK	flagellar hook protein FlgE	8.1
flgF	b1077	945639	P75938	flaX,FVI,fla,JW1064	flagellar basal-body rod protein FlgF	8.1
flgG	b1078	945647	P0ABX5	flaL,FVII,fla,JW1065	flagellar basal-body rod protein FlgG	8.1
flgH	b1079	946996	P0A6S0	FVIII,fla,flaY,JW5153	flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein	8.1
flgI	b1080	947534	P0A6S3	fla,FIX,flaM,JW1067	flagellar P-ring protein FlgI	8.1
flgJ	b1081	947456	P75942	FX,JW1068,flaZ,fla	FlgJ	8.1
flgK	b1082	945648	P33235	flaS,flaW,JW1069	flagellar biosynthesis, hook-filament junction protein 1	8.1
flgL	b1083	945646	P29744	flaT,flaU,JW1070	flagellar biosynthesis; hook-filament junction protein	8.1
flgM	b1071	946684	P0AEM4	JW1058	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	8.1
flgN	b1070	945634	P43533	JW1057	flagellar biosynthesis protein FlgN	8.1
flhA	b1879	946390	P76298	JW1868	flagellar biosynthesis protein FlhA	8.1
flhB	b1880	946391	P76299	JW1869,yecQ	flagellar biosynthesis protein FlhB	8.1
flhC	b1891	947280	P0ABY7	JW1880,flaI	FlhC	8.1
flhD	b1892	945442	P0A8S9	flbB,JW1881	FlhD	8.1
flhE	b1878	946094	P76297	JW1867	flagellar protein	8.1
fliA	b1922	948824	P0AEM6	JW1907,flaD,rpoF	RNA polymerase, sigma 28 (sigma F) factor	8.1
fliC	b1923	949101	P04949	hag,flaF,JW1908	flagellar biosynthesis; flagellin, filament structural protein	8.1
fliD	b1924	946428	P24216	JW1909,flbC,flaV	flagellar cap protein FliD; filament capping protein; enables filament assembly	8.1
fliE	b1937	946446	P0A8T5	AI,flaN,JW1921,fla	flagellar basal-body protein FliE	8.1
fliF	b1938	946448	P25798	BI,JW1922,fla,AII.1	flagellar M-ring protein FliF; basal-body MS(membrane and supramembrane)-ring and collar protein	8.1
fliG	b1939	946451	P0ABZ1	JW1923,fla,AII.2,BII	flagellar motor switch protein FliG	8.1
fliH	b1940	946456	P31068	AII.3,BIII,JW1924,fla	flagellar biosynthesis protein FliH	8.1
fliI	b1941	946457	P52612	flaC,AIII,JW1925,fla	flagellum-specific ATP synthase FliI	8.1
fliJ	b1942	946454	P52613	JW1926,flaO,flaS	flagellar biosynthesis protein FliJ	8.1
fliK	b1943	946449	P52614	flaE,JW1927,flaR	flagellar hook-length control protein FliK	8.1
fliL	b1944	946443	P0ABX8	QI,cheC1,AI,fla,JW1928	flagellar biosynthesis	8.1
fliM	b1945	946442	P06974	fla,JW1929,QII,AII,cheC2	flagellar motor switch protein FliM	8.1
fliN	b1946	946423	P15070	flaN,motD,JW1930	flagellar motor switch protein FliN	8.1
fliO	b1947	946458	P22586	flaP,JW5316,flbD	flagellar biosynthesis protein FliO	8.1
fliP	b1948	946462	P0AC05	JW1932,flaR	flagellar biosynthesis protein FliP	8.1
fliQ	b1949	946463	P0AC07	JW1933,flaQ	flagellar biosynthesis protein FliQ	8.1
fliR	b1950	946464	P33135	JW1934,flaP	flagellar biosynthesis protein FliR	8.1
fliS	b1925	946429	P26608	JW1910	flagellar biosynthesis protein FliS	8.1
fliT	b1926	946433	P0ABY2	JW1911	flagellar biosynthesis protein FliT	8.1
fliZ	b1921	946833	P52627	yedH,JW1906	FliZ DNA-binding transcriptional regulator	8.1
flu	b2000	946540	P39180	JW1982,yzzX,yeeQ	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	8.18
fmt	b3288	947779	P23882	JW3249,yhdD	10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase	Basal machinery
fnr	b1334	945908	P0A9E5	JW1328,nirR	FNR	Global regulator
focA	b0904	945513	P0AC23	JW0887,ycaE		Basal machinery
focB	b2492	949032	P77733	JW2477	FocB formate FNT transporter	Basal machinery
folA	b0048	944790	P0ABQ4	JW0047,tmrA	dihydrofolate reductase	12
folE	b2153	949040	P0A6T5	JW2140	GTP cyclohydrolase I monomer	8.6
folK	b0142	948792	P26281	JW0138	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase	Basal machinery
fpr	b3924	948414	P28861	JW3895,mvrA	flavodoxin NADP<sup>+</sup> reductase	8.2
frc	b2374	946842	P69902	JW2371,yfdW	formyl-CoA transferase monomer	8.1
frdA	b4154	948667	P00363	JW4115	fumarate reductase flavoprotein	28
frdB	b4153	948666	P0AC47	JW4114	fumarate reductase iron-sulfur protein	28
frdC	b4152	948680	P0A8Q0	JW4113	fumarate reductase membrane protein	28
frdD	b4151	948668	P0A8Q3	JW4112	fumarate reductase membrane protein	28
frr	b0172	946122	P0A805	JW0167,rrf	ribosome recycling factor	Basal machinery
ftnA	b1905	946410	P0A998	ftn,gen-165,JW1893,rsgA	ferritin iron storage protein	Basal machinery
ftnB	b1902	946407	P0A9A2	yecI,JW1890	predicted ferritin-like protein	Basal machinery
ftsA	b0094	944778	P0ABH0	divA,JW0092	essential cell division protein FtsA	Intermodular
ftsH	b3178	947690	P0AAI3	std,mrsC,tolZ,hflB,JW3145	ATP-dependent zinc metalloprotease FtsH	Basal machinery
ftsI	b0084	944799	P0AD68	JW0082,pbpB	essential cell division protein FtsI; penicillin-binding protein 3	8.8
ftsK	b0890	945102	P46889	JW0873	essential cell division protein FtsK	36
ftsL	b0083	944803	P0AEN4	mraR,yabD,JW0081	essential cell division protein FtsL	8.8
ftsQ	b0093	944823	P06136	JW0091	essential cell division protein FtsQ	Intermodular
ftsW	b0089	946322	P0ABG4	JW0087	essential cell division protein FtsW; lipid II flippase	8.8
ftsZ	b0095	944786	P0A9A6	sfiB,JW0093,sulB	essential cell division protein FtsZ	Intermodular
fucI	b2802	946195	P69922	JW2773		Basal machinery
fucK	b2803	946022	P11553	JW2774	L-fuculokinase	Basal machinery
fucP	b2801	947487	P11551	JW2772	fucose:H+ symporter	Basal machinery
fucR	b2805	946905	P0ACK8	JW2776	FucR transcriptional activator	Basal machinery
fucU	b2804	945842	P0AEN8	JW2775	L-fucose mutarotase	Basal machinery
fumA	b1612	946826	P0AC33	JW1604	fumarase A monomer	Basal machinery
fumB	b4122	948642	P14407	JW4083	fumarase B monomer	28
fumC	b1611	946147	P05042	JW1603	fumarase C monomer	8.2
fur	b0683	945295	P0A9A9	JW0669	Fur	Global regulator
fusA	b3340	947847	P0A6M8	far,fus,JW3302	elongation factor G	Basal machinery
fxsA	b4140	948657	P37147	JW4100,yjeG	inner membrane protein; overproduction inhibits F exclusion of bacteriophage T7	Basal machinery
gabD	b2661	948060	P25526	JW2636		Basal machinery
gabP	b2663	948049	P25527	JW2638	4-aminobutyrate:H<sup>+</sup> symporter	Basal machinery
gabT	b2662	948067	P22256	JW2637	4-aminobutyrate aminotransferase monomer	Basal machinery
gadA	b3517	948027	P69908	gadS,JW3485	glutamate decarboxylase A subunit	8.1
gadB	b1493	946058	P69910	JW1488	glutamate decarboxylase B subunit	8.1
gadC	b1492	946057	P63235	xasA,JW1487,acsA	glutamic acid:4-aminobutyrate antiporter	8.1
gadE	b3512	948023	P63204	JW3480,yhiE,yhiT	GadE DNA-binding transcriptional activator	8.1
gadF						8.1
gadW	b3515	948029	P63201	yhiW,JW3483	GadW DNA-binding transcriptional dual regulator	8.1
gadX	b3516	948028	P37639	yhiX,JW3484	GadX DNA-binding transcriptional dual regulator	8.1
galE	b0759	945354	P09147	JW0742,galD	UDP-glucose 4-epimerase monomer	Intermodular
galK	b0757	945358	P0A6T3	JW0740,galA	galactokinase	Intermodular
galM	b0756	944943	P0A9C3	JW0739	galactose-1-epimerase	Intermodular
galP	b2943	947434	P0AEP1	JW2910	galactose:H<sup>+</sup> symporter	Intermodular
galR	b2837	947314	P03024	JW2805	GalR DNA-binding transcriptional dual regulator	8.24
galS	b2151	949043	P25748	JW2138	GalS DNA-binding transcriptional dual regulator	8.25
galT	b0758	945357	P09148	JW0741,galB	galactose-1-phosphate uridylyltransferase	Intermodular
gapA	b1779	947679	P0A9B2	JW1768	glyceraldehyde 3-phosphate dehydrogenase-A monomer	8.1
garK	b3124	947632	P23524	yhaD,JW3093	glycerate kinase I	Basal machinery
garL	b3126	947630	P23522	yhaF,JW3095		Basal machinery
